stream_id,day_date_id,time_of_day_id,user_id,user_name,category_id,language_id,viewer_count,hours_watched
316858186485,20251229,1745,138447277,GordoReally,32399,es,89,22.25
315281984626,20251229,1745,780662549,桃子味湯圓,21779,zh,88,22.0
315058502228,20251229,1745,88548524,lack1cs,32399,ru,88,22.0
316912209140,20251229,1745,886354570,Bortolacs2,32399,pt,87,21.75
315852795366,20251229,1745,868575184,NeRF_HaMOo,21779,ar,87,21.75
315275244273,20251229,1745,803246563,mashiro_mia,21779,ja,86,21.5
315275362545,20251229,1745,1072157479,黒尾ちな,21779,ja,86,21.5
316857046517,20251229,1745,539722617,Kairohx,21779,es,85,21.25
315769806181,20251229,1745,637293305,Arktheos,21779,en,85,21.25
316191949527,20251229,1745,40719307,insanity,21779,en,84,21.0
315058474068,20251229,1745,95737462,lolPatience,21779,ru,83,20.75
315040450646,20251229,1745,670986554,makcon_bl4,32399,ru,83,20.75
315507204066,20251229,1745,157821298,iFearless72,21779,ar,83,20.75
315767000293,20251229,1745,40106976,TypischALGO,32399,de,82,20.5
316775641334,20251229,1745,262588733,Karol,21779,pt,82,20.5
315040305494,20251229,1745,156546552,Errkkan,32399,sv,81,20.25
316777314806,20251229,1745,273968856,soares,32399,pt,80,20.0
315770282085,20251229,1745,688299985,kaldyckx,32399,ru,80,20.0
315509773794,20251229,1745,218715251,h0t_cs,32399,pt,80,20.0
315560043491,20251229,1745,88273201,Hanoukan,21779,fr,79,19.75
316766314713,20251229,1745,158090310,Cesaroxx_,21779,es,79,19.75
316192207319,20251229,1745,402860487,Cralexgaming,21779,es,79,19.75
315013241557,20251229,1745,178000694,tiir3x,32399,sv,78,19.5
316602423136,20251229,1745,25862018,fenom,32399,en,77,19.25
316188608727,20251229,1745,1106431767,BuncheesOfOats,21779,en,77,19.25
315012941781,20251229,1745,1037679944,nastyanashka,32399,ru,76,19.0
315616444519,20251229,1745,261945236,kolofou1,21779,cs,74,18.5
316912353524,20251229,1745,445894195,volteracs,32399,pt,74,18.5
315056529108,20251229,1745,57636154,YAGA_M1,21779,ru,73,18.25
316483330780,20251229,1745,756618441,Zeypherlol,21779,es,73,18.25
316758583001,20251229,1745,581721883,LoLWorldChampionship,21779,en,72,18.0
316911212916,20251229,1745,79698605,Burrito,21779,es,72,18.0
315844690918,20251229,1745,410336858,narcisNJ,21779,it,71,17.75
315012659029,20251229,1745,90880796,AKKEFX,32399,ru,70,17.5
316542187998,20251229,1745,1373075112,danissmm,32399,es,70,17.5
316599847008,20251229,1745,83112166,SR_NiaPolitan,21779,en,70,17.5
314782925934,20251229,1745,1314956862,hayan_mr,21779,ja,68,17.0
315168030826,20251229,1745,735613439,周咪悠,21779,zh,68,17.0
316912062196,20251229,1745,90687259,jakkal_l,32399,pt,68,17.0
316858397301,20251229,1745,1117305684,valkyriaco,32399,en,68,17.0
315616728935,20251229,1745,744054923,dudocs,32399,en,68,17.0
315283212530,20251229,1745,898839141,綿飴ゐぬ,21779,ja,67,16.75
315013068757,20251229,1745,502259496,atsushi993,32399,ru,66,16.5
316910463348,20251229,1745,584110378,bbenjlol,21779,pt,65,16.25
315013540053,20251229,1745,113851857,Speakeriter,21779,ru,65,16.25
315613774951,20251229,1745,238473429,swingerclub,21779,de,62,15.5
316912322804,20251229,1745,185530485,SoyJamiie,21779,es,58,14.5
316540871774,20251229,1745,97035256,step1v9,21779,en,57,14.25
315560006243,20251229,1745,238414356,itsmedettol,21779,ar,57,14.25
315557000547,20251229,1745,184771138,FoKa,21779,ar,57,14.25
316763876057,20251229,1745,78193960,StabMrStabby,32399,en,57,14.25
315039324886,20251229,1745,858098146,CSGOPSTV,32399,ru,51,12.75
316000618072,20251229,1745,241165842,Zelaray,21779,en,47,11.75
316855200757,20251229,1745,430829630,VladSuo,21779,es,33,8.25
315058363348,20251229,1745,663414809,mazariiii,32399,ru,2,0.5
315560654947,20251229,1745,130789384,derfiddler,21779,de,98,24.5
316858618869,20251229,1745,171575385,Esnoob,21779,pt,93,23.25
315330046707,20251229,1745,156831431,なお美3,21779,ja,75,18.75
315104410216,20251229,1745,84858720,伊6絲,21779,zh,72,18.0
316912395380,20251229,1745,128762706,n334r,32399,pt,72,18.0
315011846741,20251229,1745,1167225255,emilshe1nru,32399,ru,66,16.5
316001689944,20251229,1745,52277205,Tactical,21779,en,64,16.0
316778543862,20251229,1745,1333626992,ThexDmax,21779,es,64,16.0
315541528676,20251229,1745,145456708,saizen,32399,fr,64,16.0
316767052249,20251229,1745,677553166,Pentaless1,21779,en,62,15.5
315283369330,20251229,1745,30978921,くるみかん,21779,ja,61,15.25
315999476952,20251229,1745,1135522123,paulbelter,21779,en,59,14.75
315040567126,20251229,1745,233703375,RH_original,32399,da,58,14.5
315328396531,20251229,1745,818805293,rinaki_ch,21779,en,58,14.5
316944541531,20251229,1745,71918286,Repobah,21779,en,58,14.5
316539410142,20251229,1745,247941368,duckii,32399,en,57,14.25
316778561910,20251229,1745,528751775,RbNz1nnn,32399,pt,56,14.0
316766678233,20251229,1745,152049547,ElPister,21779,es,56,14.0
315013255637,20251229,1745,599962280,Leowaron,32399,ru,55,13.75
315770285669,20251229,1745,492921900,DziubsoN_tv,32399,pl,55,13.75
315850677222,20251229,1745,1253221,Enso_,32399,de,54,13.5
315591930359,20251229,1745,1223770868,AxolotlWithAxes,21779,en,52,13.0
315506037858,20251229,1745,27045041,ToadAmarillo,21779,es,52,13.0
315853400934,20251229,1745,262288675,tent_lol,21779,en,51,12.75
316476367324,20251229,1745,101740476,TrackingThePros,21779,en,51,12.75
316777453558,20251229,1745,518093541,wefuria,32399,es,51,12.75
316911890932,20251229,1745,216949034,ysseneg,32399,pt,49,12.25
315060081748,20251229,1745,241316235,derankkkk,32399,ru,49,12.25
316945470299,20251229,1745,26367460,minikerr,32399,en,49,12.25
315037515601,20251229,1745,140514205,TokioAWP,32399,es,48,12.0
316912137460,20251229,1745,244053085,taviin7rex,21779,pt,48,12.0
315539579364,20251229,1745,176684437,aiko_adc,21779,fr,48,12.0
315614184935,20251229,1745,523178886,bshray,21779,de,48,12.0
315325730675,20251229,1745,839147010,はちはち88,21779,ja,48,12.0
315054730836,20251229,1745,205032641,zikint,32399,ru,48,12.0
316001277272,20251229,1745,413849277,minnimiau,21779,es,48,12.0
