igdb_id,category_id,game_name,genre_id
9241,418072,The Escapists,31
9241,418072,The Escapists,32
11754,21546,Hatsune Miku: Project Diva,7
11793,2651,Valkyrie Profile 2: Silmeria,12
11809,1866,.Hack//Outbreak,12
11809,1866,.Hack//Outbreak,25
12632,493565,Sword Art Online: Hollow Realization,12
12632,493565,Sword Art Online: Hollow Realization,31
14363,458650,Gran Turismo Sport,10
14363,458650,Gran Turismo Sport,13
14363,458650,Gran Turismo Sport,14
16666,369499,Eleusis,31
16666,369499,Eleusis,32
18975,313173,Oceanhorn: Monster of Uncharted Seas,12
18975,313173,Oceanhorn: Monster of Uncharted Seas,31
18975,313173,Oceanhorn: Monster of Uncharted Seas,32
20871,489062,Zombie Army Trilogy,5
20871,489062,Zombie Army Trilogy,24
20871,489062,Zombie Army Trilogy,31
21798,19316,Portal: Still Alive,9
26565,504276,Yuppie Psycho,31
26565,504276,Yuppie Psycho,32
28896,492578,Critical Ops,5
28896,492578,Critical Ops,31
31001,494026,Feel the Snow,12
31001,494026,Feel the Snow,13
31001,494026,Feel the Snow,31
31001,494026,Feel the Snow,32
31851,6675,Bigfoot,5
31851,6675,Bigfoot,31
31851,6675,Bigfoot,32
33315,507539,There's Poop In My Soup,32
36766,461442,Q.U.B.E. 2,8
36766,461442,Q.U.B.E. 2,9
36766,461442,Q.U.B.E. 2,31
36766,461442,Q.U.B.E. 2,32
36847,497350,NHL 18,14
45000,16080,Jade Cocoon: Story of the Tamamayu,12
45000,16080,Jade Cocoon: Story of the Tamamayu,31
55232,515739,Wooden Ocean,12
55232,515739,Wooden Ocean,15
55232,515739,Wooden Ocean,32
65606,32877,Jurassic Park III: Danger Zone,35
72115,7399,The Suite Life of Zack & Cody: Tipton Trouble,31
80961,502377,Total War: Three Kingdoms,11
80961,502377,Total War: Three Kingdoms,15
80961,502377,Total War: Three Kingdoms,16
81143,1003366672,The World Ends with You: Final Remix,12
81143,1003366672,The World Ends with You: Final Remix,31
85980,1935,Leisure Suit Larry: Kühle Drinks und Heiße Girls,2
85980,1935,Leisure Suit Larry: Kühle Drinks und Heiße Girls,31
87031,856403003,Bring You Home,9
87031,856403003,Bring You Home,31
87031,856403003,Bring You Home,32
98818,28668,Puzzle Games,9
103408,508652,One Hand Clapping,7
103408,508652,One Hand Clapping,8
103408,508652,One Hand Clapping,9
