user_id,login_name,user_name,broadcaster_type
1340753073,vibestealerr,Vibestealerr,affiliate
1350370266,apple_819819,蘋果呀,normal
108610553,robertthegoat1991,robertthegoat1991,affiliate
185451565,jeyz19x,JeyZ19x,affiliate
627442841,fredd7700,FREDD7700,normal
1357415626,kacpergibon47,kacpergibon47,normal
98436153,yourgoddess3713,YourGoddess3713,affiliate
1151976507,voker_008,voker_008,normal
89654359,tris_mara,tris_mara,partner
577733820,jxdeaa,jxdeaa,affiliate
214992093,yon_fps,yon_fps,affiliate
546833452,craftyoneshot,CraftyOneShot,affiliate
879166536,highsundayplease,highsundayplease,affiliate
535954526,shalonceroyal,ShalonceRoyal,affiliate
1139786761,chains_tw_,chains_tw_,normal
935658534,cumpot20,cumpot20,normal
145785922,mapaxxxe,mapaxxxe,affiliate
992986208,triplelift,triplelift,affiliate
408241266,aranea_gaming,Aranea_Gaming,affiliate
198984833,thespacecactus,TheSpaceCactus,affiliate
1001833634,starkiller_155,starkiller_155,normal
51938507,azuredrops,Azuredrops,affiliate
951911483,cowess,cowess,affiliate
533709925,geerudo,geerudo,affiliate
263931090,mrbox4,Mrbox4,affiliate
552092891,artoriusrmso,ArtoriusRMSO,affiliate
1384121579,boring10400,boring10400,normal
653493228,pela_dego,pela_dego,partner
616924164,nomadbear1,NomadBear1,affiliate
125387845,megao_0k2,Megao_0K2,affiliate
76661869,satoriuslol,SatoriusLOL,partner
953549990,dalkinho,dalkinho,affiliate
506643636,sandman_usa,sandman_usa,affiliate
175244493,joohn_garcia,joohn_garcia,affiliate
858866897,furuyanel,降谷ねる,affiliate
447595504,midnightfawn1,midnightfawn1,affiliate
212485122,kawau98,kawau98,affiliate
581387286,couldbenana,couldbenana,affiliate
1091650618,arobey_,arobey_,affiliate
147440789,n33tzsche,N33TZSCHE,affiliate
48465437,cowsep,Cowsep,partner
1389937909,osrs_lofi,osrs_lofi,affiliate
141624663,aloharain,AlohaRain,affiliate
168986105,joogs,joogs,affiliate
1329120585,gymansion,Gymansion,normal
826295643,theforsakenoni,TheForsakenOni,affiliate
219121003,shizukasana,ShizukaSana,affiliate
1366181236,uncleaxe805,uncleaxe805,normal
805291422,eunarivervt,EunaRiverVT,normal
434177455,zzachr6,zzachR6,affiliate
909051355,noj1n,noj1n,normal
216942104,zygueboy,zYgueBoy,normal
810222999,xx_ejecutor_xx,xx_ejecutor_xx,normal
181536053,gizma2017,GizMa2017,affiliate
40076617,joeliolio,Joeliolio,affiliate
260949327,lucasceolin,lucasceolin,normal
55199072,ycecogu,ycecogu,affiliate
78218605,dr65000,dr65000,normal
55461312,ultravioletriot,UltraVioletRiot,partner
46679509,spiderdude97,spiderdude97,normal
595395873,csbenjiii,csbenjiii,affiliate
1295074604,deadsxs,deadsxs,affiliate
130336063,wigglykitty,WigglyKitty,affiliate
119670082,viewtifulxnick,viewtifulxnick,affiliate
497714518,lombardinis,lombardinis,normal
1395279382,paradoxlabelpr,paradoxlabelpr,normal
229492251,theonetrubirdman,TheOneTruBirdman,affiliate
162252330,khawlotii,خوخو,affiliate
678757663,japanimradioofficiel,japanimradioofficiel,normal
551290104,noxrthern,Noxrthern,affiliate
90260847,maldakiller88,maldakiller88,affiliate
193086868,evrondisek,evrondisek,affiliate
74974646,nmo6k,nMo6k,affiliate
1372489142,nostalgia90gaming,nostalgia90gaming,normal
173753830,mitotvgames,mitotvgames,affiliate
617743888,the_snowbank,The_SnowBank,affiliate
56722697,dankempgaming,dankempgaming,affiliate
89638191,wispd_,wispd_,affiliate
29066611,yulihong22,咪咪蛋,partner
58885513,spitch_lol,Spitch_lol,normal
767559134,koko_kun03,koko_kun03,normal
827213322,kidarii0,Kidarii0,normal
883885610,lolcharolon,lolcharolon,affiliate
117917235,josighah,josighah,normal
672302486,exquisitelove,exquisitelove,affiliate
696419745,jon8kry,jon8kry,affiliate
989398517,jeemmii,الجيييمي,normal
78546479,n0isses,N0isses,affiliate
142591258,wiredred81,WiredRed81,affiliate
54297947,goodok229,Goodok229,normal
1164330482,s10lowrider_,S10lowrider_,normal
137315891,kingyakko01,KingYakko01,affiliate
470664449,nate_qwq,nate_qwq,affiliate
511362325,ndbwastaken,NDBwastaken,affiliate
128026117,jakkuzakku1,JakkuZakku1,affiliate
624969275,nowornevernick,nowornevernick,affiliate
750863645,decaly_cc,decaly_cc,affiliate
719717726,takyoumi,takyoumi,affiliate
1101497869,urukomechan,うるこめ,affiliate
860718628,spotrenn,spotrenn,normal
547653037,articsnowwolf765,ArticSnowWolf765,affiliate
597148922,jwpstream,JWPStream,affiliate
987596057,shinenoo,Shinenoo,affiliate
151979408,lolofeb11th,池田ろろ,affiliate
148800978,021_yubr,021_YuBR,normal
1403995616,mex_254,Mex_254,normal
35948011,dissonancetv,DissonanceTV,affiliate
49595895,chriisloopes,chriisloopes,normal
193725780,velvet_xo,velvet_xo,normal
210208112,olivegrovepapi,olivegrovepapi,affiliate
671434110,cinnabum,Cinnabum,partner
551486860,livxuann,livxuann,normal
104220066,lolelekktro,LolElekktro,partner
87655886,reapfrenzy,reapfrenzy,affiliate
65209814,julesflows,Julesflows,affiliate
799786488,codycs2,codycs2,normal
98813244,murkany,Murkany,affiliate
805111303,shepashepashepa,ShepaShepaShepa,affiliate
178144779,royalstl,Royalstl,affiliate
893634108,dhectar08,dhectar08,normal
110331139,rotzenmx,rotzenmx,affiliate
134579474,xeraimer,xeraimer,affiliate
138282434,trainriding,trainriding,normal
142656992,wanndadon19,WannDaDon19,normal
658195963,bellamusen1,bellamusen1,normal
1301038595,skyline___65,SkYLine___65,normal
1054623276,msmufftastic,MsMufftastic,affiliate
186926337,bidizzz,bidizzz,affiliate
613319951,huor_wolf,huor_wolf,affiliate
209388947,curt2705,curt2705,normal
29148572,lxslowmotionxl,lxslowmotionxl,normal
36095390,majora_96,Majora_96,normal
48498081,aechkay,Aechkay,affiliate
810501609,sr_pychon,Sr_pychon,affiliate
797640239,impulse_irl,Impulse_IRL,affiliate
1164838222,elvisstar001,elvisstar001,normal
195134803,m4g1cgod,m4g1cgod,normal
1002784094,duskywolf31,DuskyWolf31,affiliate
252413304,hamlet__0,Hamlet__0,normal
951322067,kingmettv,KingmeTTV,affiliate
922896261,yymethia,Yymethia,affiliate
57968203,anaktra,Anaktra,affiliate
870696555,rediopqek,RedioPQEK,normal
24217366,jtsnake4,JTSnake4,affiliate
138676002,adamsrvng,AdamsRvng,affiliate
451512122,animapixel,AnimaPixel,affiliate
887048013,qoo339,Qoo339,normal
81495718,freak67_,Freak67_,affiliate
470992552,fakefrijol,fakefrijol,normal
813713121,th0m2k,th0m2k,normal
1321961208,ziiiben,Ziiiben,normal
110774038,axiz_hakua,ハクア先輩,affiliate
1092503379,gillyatwork,gillyatwork,normal
705218431,39ggtwitch,39ggtwitch,partner
826148736,mitsu_unu,mitsu_unu,affiliate
507201120,signegrismore,signegrismore,normal
113936131,nu_gy,nu_gy,partner
1119799105,toffeethecow_,ToffeeTheCow_,affiliate
89753421,frosttitan52,FrostTitan52,affiliate
848775044,elboo_t,elboo_t,normal
45385357,avokend,Avokend,affiliate
957990566,zztarra,ZzTarra,affiliate
228968143,fallen_mochi,Fallen_Mochi,affiliate
53708552,tenshiasakura,TenshiAsakura,affiliate
544950031,marcosmaksoud,marcosmaksoud,normal
150718290,golden_black,golden_black,affiliate
493405855,shadyy_1337,Shadyy_1337,affiliate
228853428,tiwanakutv,TiwanakuTV,affiliate
473876214,m1dzukii,m1dzukii,normal
255051348,falaade,FalaAde,affiliate
416155271,luchoqt,LuchoQT,affiliate
184206987,stevehab,SteveHab,affiliate
