stream_id,day_date_id,time_of_day_id,user_id,category_id,language_id,viewer_count,hours_watched
315045600726,20251230,1215,808637932,515025,en,8,2.0
315165673834,20251230,1215,898382003,26936,en,8,2.0
315779213157,20251230,1215,725819831,26936,en,8,2.0
315565107939,20251230,1215,1379627542,515025,en,8,2.0
315017900501,20251230,1215,260949146,26936,uk,8,2.0
315171121770,20251230,1215,145698203,515025,zh,8,2.0
316783372662,20251230,1215,792867852,515025,es,8,2.0
315511253730,20251230,1215,730278272,26936,pt,8,2.0
315046688854,20251230,1215,423604846,26936,ru,8,2.0
315516334818,20251230,1215,464882842,26936,fr,8,2.0
316839866842,20251230,1215,1209468260,26936,en,8,2.0
315080146387,20251230,1215,428214054,26936,es,8,2.0
316005695832,20251230,1215,129334335,515025,en,8,2.0
315040468817,20251230,1215,585198502,515025,en,7,1.75
316956737243,20251230,1215,168949912,515025,en,7,1.75
316613291104,20251230,1215,217301326,515025,en,7,1.75
315778886757,20251230,1215,740989165,515025,en,6,1.5
315063457618,20251230,1215,70727056,515025,en,6,1.5
315017838677,20251230,1215,772349908,515025,ru,6,1.5
316840833242,20251230,1215,465149553,515025,en,6,1.5
316779263961,20251230,1215,1385754551,515025,en,6,1.5
315547070052,20251230,1215,52384844,515025,en,5,1.25
316201099991,20251230,1215,780084903,515025,en,5,1.25
315565199715,20251230,1215,489840214,515025,es,5,1.25
315040491857,20251230,1215,641936995,515025,en,4,1.0
315129533547,20251230,1215,980306846,515025,ar,10,2.5
316840622170,20251230,1215,459267924,515025,ar,9,2.25
315079237459,20251230,1215,42572605,515025,en,9,2.25
316615594080,20251230,1215,125771118,515025,en,9,2.25
315624290023,20251230,1215,230310656,515025,de,9,2.25
316550968798,20251230,1215,1015617264,515025,en,9,2.25
315546491364,20251230,1215,150889007,515025,fr,8,2.0
316955449947,20251230,1215,708314885,26936,en,8,2.0
315624058087,20251230,1215,535165908,26936,de,8,2.0
315854470118,20251230,1215,516558242,26936,de,8,2.0
315045709398,20251230,1215,641747336,515025,ru,8,2.0
315046902358,20251230,1215,39866673,26936,ru,8,2.0
315516166242,20251230,1215,1119795535,26936,fr,8,2.0
315046246614,20251230,1215,899220074,26936,ru,8,2.0
315044881494,20251230,1215,156797291,515025,ru,8,2.0
316782310006,20251230,1215,618389544,515025,pt,8,2.0
315566461155,20251230,1215,500436505,26936,en,8,2.0
316841916122,20251230,1215,551561737,26936,en,8,2.0
315515676258,20251230,1215,618724615,515025,en,8,2.0
315620642151,20251230,1215,130867452,515025,fr,8,2.0
316492357596,20251230,1215,151549070,515025,en,8,2.0
315278027633,20251230,1215,1143453503,515025,ja,8,2.0
316956914779,20251230,1215,740702846,515025,en,8,2.0
316780153433,20251230,1215,549326361,515025,en,8,2.0
316615673696,20251230,1215,402942184,515025,en,8,2.0
315040359761,20251230,1215,528973763,26936,en,8,2.0
315080240851,20251230,1215,1116098667,515025,en,8,2.0
315516101986,20251230,1215,532884655,515025,en,8,2.0
316551799262,20251230,1215,96410782,515025,en,8,2.0
316960265563,20251230,1215,800859721,515025,fr,7,1.75
316917394036,20251230,1215,237099620,515025,pt,7,1.75
315064602708,20251230,1215,640532996,26936,ru,7,1.75
315166443117,20251230,1215,852974853,515025,ar,7,1.75
315065333972,20251230,1215,944282757,515025,ru,7,1.75
316863495797,20251230,1215,451655273,515025,es,7,1.75
316916241908,20251230,1215,1385900803,26936,es,7,1.75
315080373203,20251230,1215,534054360,515025,en,7,1.75
315018393557,20251230,1215,37189531,515025,fi,7,1.75
315515424098,20251230,1215,862629670,515025,en,7,1.75
315146870889,20251230,1215,189687701,26936,zh,7,1.75
315566215651,20251230,1215,953694577,26936,fr,7,1.75
315287111410,20251230,1215,720050967,515025,ja,7,1.75
316780709081,20251230,1215,280057071,26936,en,7,1.75
315777926373,20251230,1215,266739423,26936,de,7,1.75
315534091748,20251230,1215,681524974,26936,it,7,1.75
315129380331,20251230,1215,625439555,515025,ar,7,1.75
315063315794,20251230,1215,586481719,515025,en,7,1.75
316008151128,20251230,1215,73765851,26936,en,6,1.5
315045741526,20251230,1215,537442430,515025,ru,6,1.5
316552393694,20251230,1215,1011488885,26936,en,6,1.5
315778859877,20251230,1215,1369344018,26936,de,6,1.5
315046732374,20251230,1215,516343519,26936,ru,6,1.5
315779778021,20251230,1215,585323920,26936,it,6,1.5
316779471833,20251230,1215,147873064,515025,en,6,1.5
316200323543,20251230,1215,766932839,26936,en,6,1.5
315861615334,20251230,1215,1031635363,26936,de,6,1.5
316200580439,20251230,1215,99838710,26936,en,6,1.5
315624194151,20251230,1215,817828006,515025,en,6,1.5
316778834265,20251230,1215,1317427008,26936,en,6,1.5
315562826211,20251230,1215,517186532,515025,fr,6,1.5
316616106080,20251230,1215,842777275,26936,en,6,1.5
315516174690,20251230,1215,853116646,26936,en,6,1.5
315080473811,20251230,1215,69835282,26936,en,6,1.5
316782705398,20251230,1215,775706077,515025,pt,6,1.5
315860258406,20251230,1215,117632889,515025,it,6,1.5
315080336339,20251230,1215,181518799,515025,en,6,1.5
316841282778,20251230,1215,1062066193,515025,en,6,1.5
316553233758,20251230,1215,549885108,26936,en,6,1.5
